year,id,shp,contab,department,municipality,population,group,value
2010,1101,1,8101,Ahuachapán,Ahuachapán,110511.0,AMTDEU,174838.490234375
2011,1101,1,8101,Ahuachapán,Ahuachapán,110511.0,AMTDEU,1075869.7739257812
2012,1101,1,8101,Ahuachapán,Ahuachapán,110511.0,AMTDEU,110001.38989257812
2013,1101,1,8101,Ahuachapán,Ahuachapán,110511.0,AMTDEU,226637.451171875
2014,1101,1,8101,Ahuachapán,Ahuachapán,110511.0,AMTDEU,261990.25
2015,1101,1,8101,Ahuachapán,Ahuachapán,110511.0,AMTDEU,288452.609375
2016,1101,1,8101,Ahuachapán,Ahuachapán,110511.0,AMTDEU,300991.720703125
2017,1101,1,8101,Ahuachapán,Ahuachapán,110511.0,AMTDEU,2554512.68359375
2018,1101,1,8101,Ahuachapán,Ahuachapán,110511.0,AMTDEU,370086.4736328125
2020,1101,1,8101,Ahuachapán,Ahuachapán,110511.0,AMTDEU,739127.9951171875
2021,1101,1,8101,Ahuachapán,Ahuachapán,110511.0,AMTDEU,475359.2216796875
2010,1108,2,8102,Ahuachapán,Apaneca,8383.0,AMTDEU,880162.5598144531
2011,1108,2,8102,Ahuachapán,Apaneca,8383.0,AMTDEU,1182847.6527404785
2012,1108,2,8102,Ahuachapán,Apaneca,8383.0,AMTDEU,86690.3994140625
2013,1108,2,8102,Ahuachapán,Apaneca,8383.0,AMTDEU,389441.77099609375
2014,1108,2,8102,Ahuachapán,Apaneca,8383.0,AMTDEU,665785.091796875
2015,1108,2,8102,Ahuachapán,Apaneca,8383.0,AMTDEU,120214.6005859375
2016,1108,2,8102,Ahuachapán,Apaneca,8383.0,AMTDEU,826574.0690917969
2017,1108,2,8102,Ahuachapán,Apaneca,8383.0,AMTDEU,54639.5302734375
2018,1108,2,8102,Ahuachapán,Apaneca,8383.0,AMTDEU,177490.451171875
2020,1108,2,8102,Ahuachapán,Apaneca,8383.0,AMTDEU,77745.3603515625
2021,1108,2,8102,Ahuachapán,Apaneca,8383.0,AMTDEU,28349.27978515625
2010,1102,3,8103,Ahuachapán,Atiquizaya,33587.0,AMTDEU,1389421.1411132812
2011,1102,3,8103,Ahuachapán,Atiquizaya,33587.0,AMTDEU,1156855.0808105469
2012,1102,3,8103,Ahuachapán,Atiquizaya,33587.0,AMTDEU,121924.0087890625
2013,1102,3,8103,Ahuachapán,Atiquizaya,33587.0,AMTDEU,120804.0400390625
2014,1102,3,8103,Ahuachapán,Atiquizaya,33587.0,AMTDEU,134804.54052734375
2015,1102,3,8103,Ahuachapán,Atiquizaya,33587.0,AMTDEU,163223.30078125
2016,1102,3,8103,Ahuachapán,Atiquizaya,33587.0,AMTDEU,176242.990234375
2017,1102,3,8103,Ahuachapán,Atiquizaya,33587.0,AMTDEU,191129.3994140625
2018,1102,3,8103,Ahuachapán,Atiquizaya,33587.0,AMTDEU,207101.3408203125
2020,1102,3,8103,Ahuachapán,Atiquizaya,33587.0,AMTDEU,66497.25927734375
2011,1105,4,8104,Ahuachapán,Concepción de Ataco,12786.0,AMTDEU,0.0
2012,1105,4,8104,Ahuachapán,Concepción de Ataco,12786.0,AMTDEU,0.0
2013,1105,4,8104,Ahuachapán,Concepción de Ataco,12786.0,AMTDEU,0.0
2014,1105,4,8104,Ahuachapán,Concepción de Ataco,12786.0,AMTDEU,0.0
2018,1105,4,8104,Ahuachapán,Concepción de Ataco,12786.0,AMTDEU,0.0
2020,1105,4,8104,Ahuachapán,Concepción de Ataco,12786.0,AMTDEU,0.0
2021,1105,4,8104,Ahuachapán,Concepción de Ataco,12786.0,AMTDEU,0.0
2010,1112,5,8105,Ahuachapán,El Refugio,8171.0,AMTDEU,45111.640625
2011,1112,5,8105,Ahuachapán,El Refugio,8171.0,AMTDEU,926137.0524902344
2012,1112,5,8105,Ahuachapán,El Refugio,8171.0,AMTDEU,49313.740234375
2013,1112,5,8105,Ahuachapán,El Refugio,8171.0,AMTDEU,98765.41015625
2014,1112,5,8105,Ahuachapán,El Refugio,8171.0,AMTDEU,89735.56982421875
2015,1112,5,8105,Ahuachapán,El Refugio,8171.0,AMTDEU,2019664.939453125
2016,1112,5,8105,Ahuachapán,El Refugio,8171.0,AMTDEU,59362.10009765625
2017,1112,5,8105,Ahuachapán,El Refugio,8171.0,AMTDEU,69600.30078125
2018,1112,5,8105,Ahuachapán,El Refugio,8171.0,AMTDEU,74564.60009765625
2020,1112,5,8105,Ahuachapán,El Refugio,8171.0,AMTDEU,62854.3798828125
2021,1112,5,8105,Ahuachapán,El Refugio,8171.0,AMTDEU,51369.7900390625
2010,1107,6,8106,Ahuachapán,Guaymango,19037.0,AMTDEU,703651.0942382812
2011,1107,6,8106,Ahuachapán,Guaymango,19037.0,AMTDEU,1111606.7934570312
2012,1107,6,8106,Ahuachapán,Guaymango,19037.0,AMTDEU,77093.08984375
2013,1107,6,8106,Ahuachapán,Guaymango,19037.0,AMTDEU,82549.84033203125
2014,1107,6,8106,Ahuachapán,Guaymango,19037.0,AMTDEU,98509.68994140624
2015,1107,6,8106,Ahuachapán,Guaymango,19037.0,AMTDEU,160916.919921875
2016,1107,6,8106,Ahuachapán,Guaymango,19037.0,AMTDEU,172972.6591796875
2017,1107,6,8106,Ahuachapán,Guaymango,19037.0,AMTDEU,186293.580078125
2018,1107,6,8106,Ahuachapán,Guaymango,19037.0,AMTDEU,279872.5908203125
2020,1107,6,8106,Ahuachapán,Guaymango,19037.0,AMTDEU,392022.41015625
2021,1107,6,8106,Ahuachapán,Guaymango,19037.0,AMTDEU,66850.1171875
2010,1106,7,8107,Ahuachapán,Jujutla,28599.0,AMTDEU,667360.6923828125
2011,1106,7,8107,Ahuachapán,Jujutla,28599.0,AMTDEU,39709.03002929688
2012,1106,7,8107,Ahuachapán,Jujutla,28599.0,AMTDEU,33335.10009765625
2013,1106,7,8107,Ahuachapán,Jujutla,28599.0,AMTDEU,56533.51013183594
2014,1106,7,8107,Ahuachapán,Jujutla,28599.0,AMTDEU,62875.71044921875
2015,1106,7,8107,Ahuachapán,Jujutla,28599.0,AMTDEU,88097.98046875
2016,1106,7,8107,Ahuachapán,Jujutla,28599.0,AMTDEU,107320.66918945312
2017,1106,7,8107,Ahuachapán,Jujutla,28599.0,AMTDEU,125911.7001953125
2018,1106,7,8107,Ahuachapán,Jujutla,28599.0,AMTDEU,149367.9599609375
2020,1106,7,8107,Ahuachapán,Jujutla,28599.0,AMTDEU,179698.0185546875
2010,1103,8,8108,Ahuachapán,San Francisco Menéndez,42607.0,AMTDEU,117554.078125
2011,1103,8,8108,Ahuachapán,San Francisco Menéndez,42607.0,AMTDEU,394870.564453125
2012,1103,8,8108,Ahuachapán,San Francisco Menéndez,42607.0,AMTDEU,201770.16796875
2013,1103,8,8108,Ahuachapán,San Francisco Menéndez,42607.0,AMTDEU,149899.62890625
2014,1103,8,8108,Ahuachapán,San Francisco Menéndez,42607.0,AMTDEU,110804.31884765624
2015,1103,8,8108,Ahuachapán,San Francisco Menéndez,42607.0,AMTDEU,339204.1865234375
2016,1103,8,8108,Ahuachapán,San Francisco Menéndez,42607.0,AMTDEU,528818.1015625
2017,1103,8,8108,Ahuachapán,San Francisco Menéndez,42607.0,AMTDEU,567610.4084472656
2018,1103,8,8108,Ahuachapán,San Francisco Menéndez,42607.0,AMTDEU,695751.34765625
2020,1103,8,8108,Ahuachapán,San Francisco Menéndez,42607.0,AMTDEU,312827.3984375
2021,1103,8,8108,Ahuachapán,San Francisco Menéndez,42607.0,AMTDEU,55297.1796875
2010,1110,9,8109,Ahuachapán,San Lorenzo,9194.0,AMTDEU,436851.27734375
2011,1110,9,8109,Ahuachapán,San Lorenzo,9194.0,AMTDEU,1024238.3498382568
2012,1110,9,8109,Ahuachapán,San Lorenzo,9194.0,AMTDEU,89052.9599609375
2013,1110,9,8109,Ahuachapán,San Lorenzo,9194.0,AMTDEU,211865.033203125
2014,1110,9,8109,Ahuachapán,San Lorenzo,9194.0,AMTDEU,103352.12109375
2015,1110,9,8109,Ahuachapán,San Lorenzo,9194.0,AMTDEU,102212.50927734376
2016,1110,9,8109,Ahuachapán,San Lorenzo,9194.0,AMTDEU,121062.4208984375
2017,1110,9,8109,Ahuachapán,San Lorenzo,9194.0,AMTDEU,116700.55859375
2018,1110,9,8109,Ahuachapán,San Lorenzo,9194.0,AMTDEU,124597.39868164062
2010,1109,10,8110,Ahuachapán,San Pedro Puxtla,7773.0,AMTDEU,432070.63916015625
2011,1109,10,8110,Ahuachapán,San Pedro Puxtla,7773.0,AMTDEU,619975.5964355469
2012,1109,10,8110,Ahuachapán,San Pedro Puxtla,7773.0,AMTDEU,93139.75
2013,1109,10,8110,Ahuachapán,San Pedro Puxtla,7773.0,AMTDEU,98899.6806640625
2014,1109,10,8110,Ahuachapán,San Pedro Puxtla,7773.0,AMTDEU,276315.6044921875
2015,1109,10,8110,Ahuachapán,San Pedro Puxtla,7773.0,AMTDEU,149740.8505859375
2016,1109,10,8110,Ahuachapán,San Pedro Puxtla,7773.0,AMTDEU,162264.330078125
2017,1109,10,8110,Ahuachapán,San Pedro Puxtla,7773.0,AMTDEU,175868.080078125
2018,1109,10,8110,Ahuachapán,San Pedro Puxtla,7773.0,AMTDEU,190647.7119140625
2011,1104,11,8111,Ahuachapán,Tacuba,29858.0,AMTDEU,103537.291015625
2012,1104,11,8111,Ahuachapán,Tacuba,29858.0,AMTDEU,346443.1484375
2013,1104,11,8111,Ahuachapán,Tacuba,29858.0,AMTDEU,1745512.2578125
2014,1104,11,8111,Ahuachapán,Tacuba,29858.0,AMTDEU,458627.13671875
2015,1104,11,8111,Ahuachapán,Tacuba,29858.0,AMTDEU,2199198.42578125
2016,1104,11,8111,Ahuachapán,Tacuba,29858.0,AMTDEU,414389.283203125
2017,1104,11,8111,Ahuachapán,Tacuba,29858.0,AMTDEU,464356.73828125
2018,1104,11,8111,Ahuachapán,Tacuba,29858.0,AMTDEU,1689741.0078125
2020,1104,11,8111,Ahuachapán,Tacuba,29858.0,AMTDEU,304276.185546875
2021,1104,11,8111,Ahuachapán,Tacuba,29858.0,AMTDEU,80751.4296875
2010,1111,12,8112,Ahuachapán,Turín,8997.0,AMTDEU,818479.2025604248
2011,1111,12,8112,Ahuachapán,Turín,8997.0,AMTDEU,32513.140167236328
2012,1111,12,8112,Ahuachapán,Turín,8997.0,AMTDEU,37246.91990661621
2013,1111,12,8112,Ahuachapán,Turín,8997.0,AMTDEU,41106.3801574707
2014,1111,12,8112,Ahuachapán,Turín,8997.0,AMTDEU,47921.11024475098
2015,1111,12,8112,Ahuachapán,Turín,8997.0,AMTDEU,64314.659240722656
2016,1111,12,8112,Ahuachapán,Turín,8997.0,AMTDEU,72105.1812133789
2017,1111,12,8112,Ahuachapán,Turín,8997.0,AMTDEU,79851.40950012207
2018,1111,12,8112,Ahuachapán,Turín,8997.0,AMTDEU,90682.59957885742
2020,1111,12,8112,Ahuachapán,Turín,8997.0,AMTDEU,114158.6596069336
2021,1111,12,8112,Ahuachapán,Turín,8997.0,AMTDEU,83867.93832397461
2010,0207,212,8201,Santa Ana,Candelaria de la Frontera,22686.0,AMTDEU,109175.1474609375
2011,0207,212,8201,Santa Ana,Candelaria de la Frontera,22686.0,AMTDEU,544317.71484375
2012,0207,212,8201,Santa Ana,Candelaria de la Frontera,22686.0,AMTDEU,1273538.0390625
2013,0207,212,8201,Santa Ana,Candelaria de la Frontera,22686.0,AMTDEU,1869536.931640625
2014,0207,212,8201,Santa Ana,Candelaria de la Frontera,22686.0,AMTDEU,548151.60546875
2015,0207,212,8201,Santa Ana,Candelaria de la Frontera,22686.0,AMTDEU,534560.328125
2016,0207,212,8201,Santa Ana,Candelaria de la Frontera,22686.0,AMTDEU,1898801.138671875
2017,0207,212,8201,Santa Ana,Candelaria de la Frontera,22686.0,AMTDEU,390081.9956054688
2018,0207,212,8201,Santa Ana,Candelaria de la Frontera,22686.0,AMTDEU,355822.109375
2020,0207,212,8201,Santa Ana,Candelaria de la Frontera,22686.0,AMTDEU,169991.22265625
2010,0204,214,8202,Santa Ana,Coatepeque,36768.0,AMTDEU,288909.8295898437
2011,0204,214,8202,Santa Ana,Coatepeque,36768.0,AMTDEU,1951926.8239746091
2012,0204,214,8202,Santa Ana,Coatepeque,36768.0,AMTDEU,408312.2960510254
2013,0204,214,8202,Santa Ana,Coatepeque,36768.0,AMTDEU,2007798.5873146057
2014,0204,214,8202,Santa Ana,Coatepeque,36768.0,AMTDEU,2358502.194213867
2015,0204,214,8202,Santa Ana,Coatepeque,36768.0,AMTDEU,525334.1704101562
2016,0204,214,8202,Santa Ana,Coatepeque,36768.0,AMTDEU,578697.30078125
2017,0204,214,8202,Santa Ana,Coatepeque,36768.0,AMTDEU,623678.46875
2018,0204,214,8202,Santa Ana,Coatepeque,36768.0,AMTDEU,623124.640625
2010,0202,213,8203,Santa Ana,Chalchuapa,74038.0,AMTDEU,0.0
2011,0202,213,8203,Santa Ana,Chalchuapa,74038.0,AMTDEU,100000.0
2012,0202,213,8203,Santa Ana,Chalchuapa,74038.0,AMTDEU,54389.669921875
2013,0202,213,8203,Santa Ana,Chalchuapa,74038.0,AMTDEU,46886.75
2014,0202,213,8203,Santa Ana,Chalchuapa,74038.0,AMTDEU,169376.8076171875
2015,0202,213,8203,Santa Ana,Chalchuapa,74038.0,AMTDEU,100513.3994140625
2016,0202,213,8203,Santa Ana,Chalchuapa,74038.0,AMTDEU,110473.111328125
2017,0202,213,8203,Santa Ana,Chalchuapa,74038.0,AMTDEU,121408.2294921875
2011,0205,215,8204,Santa Ana,El Congo,24219.0,AMTDEU,0.0
2012,0205,215,8204,Santa Ana,El Congo,24219.0,AMTDEU,0.0
2013,0205,215,8204,Santa Ana,El Congo,24219.0,AMTDEU,0.0
2014,0205,215,8204,Santa Ana,El Congo,24219.0,AMTDEU,0.0
2015,0205,215,8204,Santa Ana,El Congo,24219.0,AMTDEU,0.0
2016,0205,215,8204,Santa Ana,El Congo,24219.0,AMTDEU,51351.66943359375
2017,0205,215,8204,Santa Ana,El Congo,24219.0,AMTDEU,23648.330078125
2018,0205,215,8204,Santa Ana,El Congo,24219.0,AMTDEU,0.0
2020,0205,215,8204,Santa Ana,El Congo,24219.0,AMTDEU,37771.3505859375
2010,0211,216,8205,Santa Ana,El Porvenir,8232.0,AMTDEU,85036.37060546875
2011,0211,216,8205,Santa Ana,El Porvenir,8232.0,AMTDEU,98152.72021484376
2012,0211,216,8205,Santa Ana,El Porvenir,8232.0,AMTDEU,119350.6611328125
2013,0211,216,8205,Santa Ana,El Porvenir,8232.0,AMTDEU,37763.98046875
2014,0211,216,8205,Santa Ana,El Porvenir,8232.0,AMTDEU,19663.06982421875
2015,0211,216,8205,Santa Ana,El Porvenir,8232.0,AMTDEU,23464.910034179688
2016,0211,216,8205,Santa Ana,El Porvenir,8232.0,AMTDEU,25911.649658203125
2017,0211,216,8205,Santa Ana,El Porvenir,8232.0,AMTDEU,55161.41015625
2018,0211,216,8205,Santa Ana,El Porvenir,8232.0,AMTDEU,61192.67041015625
2020,0211,216,8205,Santa Ana,El Porvenir,8232.0,AMTDEU,74888.33984375
2021,0211,216,8205,Santa Ana,El Porvenir,8232.0,AMTDEU,54718.51025390625
2010,0212,219,8206,Santa Ana,Masahuat,3393.0,AMTDEU,61417.94955444336
2011,0212,219,8206,Santa Ana,Masahuat,3393.0,AMTDEU,45743.66943359375
2012,0212,219,8206,Santa Ana,Masahuat,3393.0,AMTDEU,75661.6005859375
2013,0212,219,8206,Santa Ana,Masahuat,3393.0,AMTDEU,68796.55029296875
2014,0212,219,8206,Santa Ana,Masahuat,3393.0,AMTDEU,83599.7607421875
2015,0212,219,8206,Santa Ana,Masahuat,3393.0,AMTDEU,105780.3017578125
2016,0212,219,8206,Santa Ana,Masahuat,3393.0,AMTDEU,19166.849853515625
2017,0212,219,8206,Santa Ana,Masahuat,3393.0,AMTDEU,48926.41040039063
2018,0212,219,8206,Santa Ana,Masahuat,3393.0,AMTDEU,94597.330078125
2020,0212,219,8206,Santa Ana,Masahuat,3393.0,AMTDEU,93490.970703125
2021,0212,219,8206,Santa Ana,Masahuat,3393.0,AMTDEU,38769.05029296875
2010,0203,220,8207,Santa Ana,Metapán,59004.0,AMTDEU,151135.77001953125
2011,0203,220,8207,Santa Ana,Metapán,59004.0,AMTDEU,482254.5395507813
2012,0203,220,8207,Santa Ana,Metapán,59004.0,AMTDEU,834400.494140625
2013,0203,220,8207,Santa Ana,Metapán,59004.0,AMTDEU,982402.6689453124
2014,0203,220,8207,Santa Ana,Metapán,59004.0,AMTDEU,924948.66796875
2015,0203,220,8207,Santa Ana,Metapán,59004.0,AMTDEU,19247.929931640625
2016,0203,220,8207,Santa Ana,Metapán,59004.0,AMTDEU,21247.769897460938
2017,0203,220,8207,Santa Ana,Metapán,59004.0,AMTDEU,499454.6844482422
2018,0203,220,8207,Santa Ana,Metapán,59004.0,AMTDEU,471099.296875
2020,0203,220,8207,Santa Ana,Metapán,59004.0,AMTDEU,1469339.16796875
2021,0203,220,8207,Santa Ana,Metapán,59004.0,AMTDEU,378075.314453125
2010,0213,221,8208,Santa Ana,San Antonio Pajonal,3279.0,AMTDEU,0.0
2012,0213,221,8208,Santa Ana,San Antonio Pajonal,3279.0,AMTDEU,1078.5
2013,0213,221,8208,Santa Ana,San Antonio Pajonal,3279.0,AMTDEU,30663.01030731201
2014,0213,221,8208,Santa Ana,San Antonio Pajonal,3279.0,AMTDEU,32529.860107421875
2015,0213,221,8208,Santa Ana,San Antonio Pajonal,3279.0,AMTDEU,35958.77941894531
2016,0213,221,8208,Santa Ana,San Antonio Pajonal,3279.0,AMTDEU,58558.12939453125
2017,0213,221,8208,Santa Ana,San Antonio Pajonal,3279.0,AMTDEU,61648.18914794922
2018,0213,221,8208,Santa Ana,San Antonio Pajonal,3279.0,AMTDEU,59736.71948242188
2020,0213,221,8208,Santa Ana,San Antonio Pajonal,3279.0,AMTDEU,31983.99975585937
2010,0209,222,8209,Santa Ana,San Sebastián Salitrillo,18566.0,AMTDEU,525612.6940917969
2011,0209,222,8209,Santa Ana,San Sebastián Salitrillo,18566.0,AMTDEU,721233.0761108398
2012,0209,222,8209,Santa Ana,San Sebastián Salitrillo,18566.0,AMTDEU,125415.5
2013,0209,222,8209,Santa Ana,San Sebastián Salitrillo,18566.0,AMTDEU,137990.5009765625
2014,0209,222,8209,Santa Ana,San Sebastián Salitrillo,18566.0,AMTDEU,1238292.2255859375
2015,0209,222,8209,Santa Ana,San Sebastián Salitrillo,18566.0,AMTDEU,185661.7001953125
2016,0209,222,8209,Santa Ana,San Sebastián Salitrillo,18566.0,AMTDEU,218966.169921875
2017,0209,222,8209,Santa Ana,San Sebastián Salitrillo,18566.0,AMTDEU,260042.12060546875
2018,0209,222,8209,Santa Ana,San Sebastián Salitrillo,18566.0,AMTDEU,1508065.1713867188
2020,0209,222,8209,Santa Ana,San Sebastián Salitrillo,18566.0,AMTDEU,153600.1689453125
2010,0201,223,8210,Santa Ana,Santa Ana,245421.0,AMTDEU,2117815.822288513
2011,0201,223,8210,Santa Ana,Santa Ana,245421.0,AMTDEU,4807960.354858398
2012,0201,223,8210,Santa Ana,Santa Ana,245421.0,AMTDEU,596342.405456543
2013,0201,223,8210,Santa Ana,Santa Ana,245421.0,AMTDEU,799934.832824707
2014,0201,223,8210,Santa Ana,Santa Ana,245421.0,AMTDEU,867406.7442626953
2015,0201,223,8210,Santa Ana,Santa Ana,245421.0,AMTDEU,815574.1513671875
2016,0201,223,8210,Santa Ana,Santa Ana,245421.0,AMTDEU,835975.6901855469
2017,0201,223,8210,Santa Ana,Santa Ana,245421.0,AMTDEU,776478.875
2018,0201,223,8210,Santa Ana,Santa Ana,245421.0,AMTDEU,827618.3845214844
2020,0201,223,8210,Santa Ana,Santa Ana,245421.0,AMTDEU,942954.3618164062
2021,0201,223,8210,Santa Ana,Santa Ana,245421.0,AMTDEU,338279.5417480469
2012,0208,225,8212,Santa Ana,Santiago de la Frontera,5196.0,AMTDEU,12962.099609375
2013,0208,225,8212,Santa Ana,Santiago de la Frontera,5196.0,AMTDEU,62369.599609375
2014,0208,225,8212,Santa Ana,Santiago de la Frontera,5196.0,AMTDEU,72599.990234375
2015,0208,225,8212,Santa Ana,Santiago de la Frontera,5196.0,AMTDEU,78562.62939453125
2016,0208,225,8212,Santa Ana,Santiago de la Frontera,5196.0,AMTDEU,73505.67944335938
2010,0206,226,8213,Santa Ana,Texistepeque,17923.0,AMTDEU,527830.44140625
2011,0206,226,8213,Santa Ana,Texistepeque,17923.0,AMTDEU,1106163.1772460938
2012,0206,226,8213,Santa Ana,Texistepeque,17923.0,AMTDEU,149060.5703125
2013,0206,226,8213,Santa Ana,Texistepeque,17923.0,AMTDEU,159800.119140625
2014,0206,226,8213,Santa Ana,Texistepeque,17923.0,AMTDEU,456426.3037109375
2015,0206,226,8213,Santa Ana,Texistepeque,17923.0,AMTDEU,315305.9609375
2016,0206,226,8213,Santa Ana,Texistepeque,17923.0,AMTDEU,1070280.388671875
2017,0206,226,8213,Santa Ana,Texistepeque,17923.0,AMTDEU,334750.220703125
2018,0206,226,8213,Santa Ana,Texistepeque,17923.0,AMTDEU,363082.76171875
2020,0206,226,8213,Santa Ana,Texistepeque,17923.0,AMTDEU,353650.66015625
2010,0603,227,8301,Sonsonate,Acajutla,52359.0,AMTDEU,1147039.6435546875
2011,0603,227,8301,Sonsonate,Acajutla,52359.0,AMTDEU,2804094.5888671875
2012,0603,227,8301,Sonsonate,Acajutla,52359.0,AMTDEU,205019.0302734375
2013,0603,227,8301,Sonsonate,Acajutla,52359.0,AMTDEU,217827.1953125
2014,0603,227,8301,Sonsonate,Acajutla,52359.0,AMTDEU,231811.931640625
2015,0603,227,8301,Sonsonate,Acajutla,52359.0,AMTDEU,246717.626953125
2016,0603,227,8301,Sonsonate,Acajutla,52359.0,AMTDEU,274375.51953125
2017,0603,227,8301,Sonsonate,Acajutla,52359.0,AMTDEU,305496.9296875
2018,0603,227,8301,Sonsonate,Acajutla,52359.0,AMTDEU,325689.451171875
2020,0603,227,8301,Sonsonate,Acajutla,52359.0,AMTDEU,60067.16015625
2010,0604,228,8302,Sonsonate,Armenia,34912.0,AMTDEU,818263.248046875
2011,0604,228,8302,Sonsonate,Armenia,34912.0,AMTDEU,259666.6796875
2012,0604,228,8302,Sonsonate,Armenia,34912.0,AMTDEU,1124093.0322265625
2013,0604,228,8302,Sonsonate,Armenia,34912.0,AMTDEU,701802.7958984375
2014,0604,228,8302,Sonsonate,Armenia,34912.0,AMTDEU,1138523.1478906237
2015,0604,228,8302,Sonsonate,Armenia,34912.0,AMTDEU,365753.5078125
2016,0604,228,8302,Sonsonate,Armenia,34912.0,AMTDEU,397853.248046875
2017,0604,228,8302,Sonsonate,Armenia,34912.0,AMTDEU,514302.2543945313
2018,0604,228,8302,Sonsonate,Armenia,34912.0,AMTDEU,444659.396484375
2020,0604,228,8302,Sonsonate,Armenia,34912.0,AMTDEU,225692.919921875
2010,0613,229,8303,Sonsonate,Caluco,9139.0,AMTDEU,612201.7893066406
2011,0613,229,8303,Sonsonate,Caluco,9139.0,AMTDEU,25314.689697265625
2012,0613,229,8303,Sonsonate,Caluco,9139.0,AMTDEU,48786.52026367188
2013,0613,229,8303,Sonsonate,Caluco,9139.0,AMTDEU,829360.5424804688
2014,0613,229,8303,Sonsonate,Caluco,9139.0,AMTDEU,101743.51025390624
2015,0613,229,8303,Sonsonate,Caluco,9139.0,AMTDEU,1351794.7060546875
2016,0613,229,8303,Sonsonate,Caluco,9139.0,AMTDEU,127571.53002929688
2017,0613,229,8303,Sonsonate,Caluco,9139.0,AMTDEU,129444.6494140625
2018,0613,229,8303,Sonsonate,Caluco,9139.0,AMTDEU,142835.9111328125
2020,0613,229,8303,Sonsonate,Caluco,9139.0,AMTDEU,177644.140625
2021,0613,229,8303,Sonsonate,Caluco,9139.0,AMTDEU,104268.1298828125
2010,0611,230,8304,Sonsonate,Cuisnahuat,12676.0,AMTDEU,36886.8203125
2011,0611,230,8304,Sonsonate,Cuisnahuat,12676.0,AMTDEU,18597.760009765625
2012,0611,230,8304,Sonsonate,Cuisnahuat,12676.0,AMTDEU,53535.380859375
2013,0611,230,8304,Sonsonate,Cuisnahuat,12676.0,AMTDEU,45459.6591796875
2014,0611,230,8304,Sonsonate,Cuisnahuat,12676.0,AMTDEU,60210.10009765625
2015,0611,230,8304,Sonsonate,Cuisnahuat,12676.0,AMTDEU,75870.5
2016,0611,230,8304,Sonsonate,Cuisnahuat,12676.0,AMTDEU,81751.78125
2017,0611,230,8304,Sonsonate,Cuisnahuat,12676.0,AMTDEU,94917.8408203125
2018,0611,230,8304,Sonsonate,Cuisnahuat,12676.0,AMTDEU,105810.3017578125
2020,0611,230,8304,Sonsonate,Cuisnahuat,12676.0,AMTDEU,303080.1181640625
2010,0614,239,8305,Sonsonate,Santa Isabel Ishuatán,10241.0,AMTDEU,161170.36987304688
2011,0614,239,8305,Sonsonate,Santa Isabel Ishuatán,10241.0,AMTDEU,881946.44921875
2012,0614,239,8305,Sonsonate,Santa Isabel Ishuatán,10241.0,AMTDEU,103553.31909179688
2013,0614,239,8305,Sonsonate,Santa Isabel Ishuatán,10241.0,AMTDEU,99814.03076171876
2014,0614,239,8305,Sonsonate,Santa Isabel Ishuatán,10241.0,AMTDEU,75623.19091796875
2015,0614,239,8305,Sonsonate,Santa Isabel Ishuatán,10241.0,AMTDEU,1480085.609375
2016,0614,239,8305,Sonsonate,Santa Isabel Ishuatán,10241.0,AMTDEU,311150.07609558105
2017,0614,239,8305,Sonsonate,Santa Isabel Ishuatán,10241.0,AMTDEU,74032.94018554688
2018,0614,239,8305,Sonsonate,Santa Isabel Ishuatán,10241.0,AMTDEU,97346.7900390625
2020,0614,239,8305,Sonsonate,Santa Isabel Ishuatán,10241.0,AMTDEU,165252.69384765625
2021,0614,239,8305,Sonsonate,Santa Isabel Ishuatán,10241.0,AMTDEU,362467.35546875
2010,0602,231,8306,Sonsonate,Izalco,70959.0,AMTDEU,0.0
2011,0602,231,8306,Sonsonate,Izalco,70959.0,AMTDEU,0.0
2012,0602,231,8306,Sonsonate,Izalco,70959.0,AMTDEU,0.0
2013,0602,231,8306,Sonsonate,Izalco,70959.0,AMTDEU,67110.94140625
2014,0602,231,8306,Sonsonate,Izalco,70959.0,AMTDEU,246227.001953125
2015,0602,231,8306,Sonsonate,Izalco,70959.0,AMTDEU,239149.810546875
2016,0602,231,8306,Sonsonate,Izalco,70959.0,AMTDEU,247998.263671875
2017,0602,231,8306,Sonsonate,Izalco,70959.0,AMTDEU,267218.380859375
2018,0602,231,8306,Sonsonate,Izalco,70959.0,AMTDEU,125595.7119140625
2020,0602,231,8306,Sonsonate,Izalco,70959.0,AMTDEU,142019.9189453125
2021,0602,231,8306,Sonsonate,Izalco,70959.0,AMTDEU,75860.2802734375
2010,0606,232,8307,Sonsonate,Juayúa,24465.0,AMTDEU,163018.80859375
2011,0606,232,8307,Sonsonate,Juayúa,24465.0,AMTDEU,209032.587890625
2012,0606,232,8307,Sonsonate,Juayúa,24465.0,AMTDEU,609021.296875
2013,0606,232,8307,Sonsonate,Juayúa,24465.0,AMTDEU,131332.1796875
2014,0606,232,8307,Sonsonate,Juayúa,24465.0,AMTDEU,142541.150390625
2015,0606,232,8307,Sonsonate,Juayúa,24465.0,AMTDEU,140496.060546875
2016,0606,232,8307,Sonsonate,Juayúa,24465.0,AMTDEU,182170.47790527344
2017,0606,232,8307,Sonsonate,Juayúa,24465.0,AMTDEU,187743.3603515625
2018,0606,232,8307,Sonsonate,Juayúa,24465.0,AMTDEU,208101.2685546875
2020,0606,232,8307,Sonsonate,Juayúa,24465.0,AMTDEU,207274.892578125
